index,station_id,Fail,Pass,Reject,Total,Fail_ratio,Pass_ratio,Rej_ratio
0,1.0,883.0,1749.0,301.0,2933.0,0.3010569382884419,0.5963177633822025,0.1026252983293556
1,2.0,42.0,1838.0,81.0,1961.0,0.021417644059153494,0.9372768995410505,0.04130545639979602
2,11.0,23.0,746.0,28.0,797.0,0.028858218318695106,0.9360100376411543,0.03513174404015056
3,24.0,68.0,1514.0,53.0,1635.0,0.04159021406727829,0.9259938837920489,0.03241590214067278
4,28.0,66.0,1061.0,40.0,1167.0,0.056555269922879174,0.9091688089117395,0.03427592116538132
5,38.0,164.0,11079.0,314.0,11557.0,0.014190533875573246,0.9586397854114389,0.0271696807129878
6,39.0,8.0,474.0,2.0,484.0,0.01652892561983471,0.9793388429752066,0.004132231404958678
7,46.0,203.0,4686.0,65.0,4954.0,0.04097698829228906,0.9459023011707711,0.013120710536939846
8,58.0,85.0,5744.0,292.0,6121.0,0.013886619833360562,0.938408756739095,0.04770462342754452
9,60.0,4.0,367.0,11.0,382.0,0.010471204188481676,0.9607329842931938,0.028795811518324606
10,64.0,61.0,3204.0,123.0,3388.0,0.018004722550177096,0.9456906729634003,0.03630460448642267
11,69.0,305.0,6535.0,127.0,6967.0,0.04377780967417827,0.9379933974450984,0.01822879288072341
12,70.0,110.0,1821.0,64.0,1995.0,0.05513784461152882,0.912781954887218,0.03208020050125313
13,71.0,3.0,323.0,3.0,329.0,0.00911854103343465,0.9817629179331308,0.00911854103343465
14,73.0,65.0,1444.0,35.0,1544.0,0.04209844559585492,0.9352331606217616,0.02266839378238342
15,94.0,61.0,2509.0,138.0,2708.0,0.022525849335302807,0.9265140324963073,0.05096011816838995
16,95.0,13.0,828.0,13.0,854.0,0.01522248243559719,0.9695550351288056,0.01522248243559719
17,96.0,54.0,4022.0,125.0,4201.0,0.012854082361342537,0.957391097357772,0.029754820280885504
18,102.0,11.0,463.0,24.0,498.0,0.02208835341365462,0.929718875502008,0.04819277108433735
19,107.0,126.0,3191.0,93.0,3410.0,0.03695014662756598,0.9357771260997068,0.02727272727272727
20,109.0,83.0,1256.0,77.0,1416.0,0.05861581920903955,0.8870056497175142,0.054378531073446326
21,123.0,27.0,275.0,18.0,320.0,0.084375,0.859375,0.05625
22,125.0,206.0,3791.0,242.0,4239.0,0.04859636706770465,0.8943146968624676,0.05708893606982779
23,130.0,314.0,3414.0,156.0,3884.0,0.08084449021627188,0.8789907312049433,0.04016477857878476
24,133.0,107.0,1699.0,78.0,1884.0,0.056794055201698515,0.9018046709129511,0.041401273885350316
25,135.0,239.0,5741.0,238.0,6218.0,0.038436796397555484,0.9232872306207783,0.03827597298166613
26,138.0,6.0,319.0,13.0,338.0,0.01775147928994083,0.9437869822485208,0.038461538461538464
27,139.0,52.0,2811.0,226.0,3089.0,0.016833926837164132,0.9100032372936225,0.07316283586921334
28,140.0,59.0,1075.0,84.0,1218.0,0.048440065681444995,0.8825944170771757,0.06896551724137931
29,150.0,139.0,3106.0,147.0,3392.0,0.04097877358490566,0.9156839622641509,0.0433372641509434
30,155.0,5.0,281.0,10.0,296.0,0.016891891891891893,0.9493243243243243,0.033783783783783786
31,157.0,110.0,2878.0,75.0,3063.0,0.03591250408096637,0.9396016976820111,0.024485798237022526
32,158.0,87.0,1847.0,71.0,2005.0,0.04339152119700748,0.9211970074812967,0.03541147132169576
33,165.0,209.0,5038.0,406.0,5653.0,0.03697151954714311,0.8912082080311339,0.07182027242172298
34,174.0,15.0,262.0,9.0,286.0,0.05244755244755245,0.916083916083916,0.03146853146853147
35,175.0,28.0,524.0,22.0,574.0,0.04878048780487805,0.9128919860627178,0.03832752613240418
36,191.0,26.0,490.0,23.0,539.0,0.04823747680890538,0.9090909090909091,0.04267161410018553
37,196.0,62.0,2490.0,110.0,2662.0,0.02329075882794891,0.9353869271224643,0.04132231404958678
38,199.0,8.0,784.0,5.0,797.0,0.010037641154328732,0.9836888331242158,0.006273525721455458
39,200.0,76.0,1658.0,64.0,1798.0,0.042269187986651836,0.9221357063403782,0.035595105672969966
40,202.0,12.0,1522.0,23.0,1557.0,0.007707129094412331,0.9775208734746307,0.014771997430956968
41,214.0,465.0,4420.0,237.0,5122.0,0.0907848496680984,0.8629441624365483,0.046270987895353374
42,221.0,194.0,3903.0,192.0,4289.0,0.045231988808580086,0.9100023315458149,0.04476567964560504
43,222.0,17.0,543.0,13.0,573.0,0.029668411867364748,0.9476439790575916,0.02268760907504363
44,233.0,205.0,6592.0,345.0,7142.0,0.0287034444133296,0.922990758891067,0.048305796695603476
45,234.0,73.0,1084.0,46.0,1203.0,0.060681629260182876,0.9010806317539485,0.038237738985868665
46,240.0,80.0,3057.0,160.0,3297.0,0.024264482863208977,0.9272065514103731,0.048528965726417954
47,246.0,107.0,1627.0,17.0,1751.0,0.061107938320959454,0.9291833238149628,0.009708737864077669
48,250.0,62.0,2582.0,76.0,2720.0,0.022794117647058822,0.9492647058823529,0.027941176470588237
49,264.0,61.0,1256.0,31.0,1348.0,0.045252225519287835,0.9317507418397626,0.022997032640949554
50,304.0,44.0,907.0,29.0,980.0,0.044897959183673466,0.9255102040816326,0.02959183673469388
51,339.0,120.0,1731.0,101.0,1952.0,0.06147540983606557,0.8867827868852459,0.051741803278688527
52,362.0,185.0,2862.0,116.0,3163.0,0.05848877647802719,0.9048371798925071,0.0366740436294657
53,371.0,107.0,2757.0,45.0,2909.0,0.036782399449982815,0.947748367136473,0.015469233413544173
